NAMES                 IMAGE                             PORTS                                                STATUS
az-n8n-azoth          n8nio/n8n:latest                  127.0.0.1:5678->5678/tcp                             Up 54 minutes
az-n8n-koff           n8nio/n8n:latest                  127.0.0.1:5680->5678/tcp                             Up 54 minutes
az-n8n-maximus        n8nio/n8n:latest                  127.0.0.1:5679->5678/tcp                             Up 54 minutes
az-chat               rocketchat/rocket.chat:latest     3000/tcp, 127.0.0.1:3001->3001/tcp                   Up 54 minutes
az-postgres-maximus   postgres:16                       5432/tcp                                             Up 54 minutes
az-postgres-koff      postgres:16                       5432/tcp                                             Up 54 minutes
az-postgres-azoth     postgres:16                       5432/tcp                                             Up 54 minutes
az-redis-maximus      redis:7-alpine                    127.0.0.1:6380->6379/tcp                             Up 54 minutes
az-redis-azoth        redis:7-alpine                    127.0.0.1:6379->6379/tcp                             Up 54 minutes
az-redis-koff         redis:7-alpine                    127.0.0.1:6381->6379/tcp                             Up 54 minutes
az-portainer          portainer/portainer-ce:latest     8000/tcp, 9000/tcp, 127.0.0.1:9443->9443/tcp         Up 54 minutes
az-drant              dpage/pgadmin4:latest             443/tcp, 127.0.0.1:5050->80/tcp                      Up 54 minutes
az-qdrant-koff        qdrant/qdrant:latest              6334/tcp, 127.0.0.1:6335->6333/tcp                   Up 54 minutes
az-qdrant-azoth       qdrant/qdrant:latest              127.0.0.1:6333->6333/tcp, 6334/tcp                   Up 54 minutes
az-qdrant-maximus     qdrant/qdrant:latest              6334/tcp, 127.0.0.1:6334->6333/tcp                   Up 54 minutes
az-ai-proxy           node:20-alpine                    127.0.0.1:3101->3101/tcp                             Up 54 minutes
az-mqtt               eclipse-mosquitto:latest          127.0.0.1:1883->1883/tcp, 127.0.0.1:9001->9001/tcp   Up 54 minutes
az-chat-mongo         mongo:7                           27017/tcp                                            Up 54 minutes
az-strudel            az-stack-strudel                  127.0.0.1:4321->4321/tcp                             Up 54 minutes
az-embed-koff         az-stack-embed-koff               8080/tcp                                             Up 54 minutes
az-embed-azoth        az-stack-embed-azoth              8080/tcp                                             Up 54 minutes
az-prometheus         prom/prometheus:latest            127.0.0.1:9090->9090/tcp                             Up 54 minutes
az-embed-maximus      az-stack-embed-maximus            8080/tcp                                             Up 54 minutes
az-grafana            grafana/grafana-oss:latest        127.0.0.1:3000->3000/tcp                             Up 54 minutes
az-minio-koff         minio/minio:latest                127.0.0.1:9004->9000/tcp, 127.0.0.1:9005->9001/tcp   Up 54 minutes
az-minio-azoth        minio/minio:latest                127.0.0.1:9000->9000/tcp, 127.0.0.1:9101->9001/tcp   Up 54 minutes
az-minio-maximus      minio/minio:latest                127.0.0.1:9002->9000/tcp, 127.0.0.1:9003->9001/tcp   Up 54 minutes
az-node-exporter      prom/node-exporter:latest         127.0.0.1:9100->9100/tcp                             Up 54 minutes
az-cadvisor           gcr.io/cadvisor/cadvisor:latest   127.0.0.1:8080->8080/tcp                             Up 54 minutes (healthy)
